gh_username,company,twitter,location
DONALDBZR,Mips It Solutions Ltd<br/>,,"Moka, Mauritius"
BarbUk,@oceandba,,Mauritius
smissaertj,@kinsta,,Mauritius
cbillowes,Cloudsure Limited,,Mauritius
cedpoilly,No Company,,Mauritius
rohan-bhautoo,No Company,,Mauritius
redfadil,No Company,,Mauritius
MrSunshyne,Livestorm,__sun__,Mauritius
percymamedy,@assurdeal @laravel-moris @interfaceable @upmeetly<br/>,percymamedy,Port Louis Mauritius
asvinb,@10up,,Mauritius
masterdubs,@starkleytech,mast3rdubs,Mauritius
EL-HOUSS-BRAHIM,No Company,Brahim_EL_houss,Morocco
yoeunes,No Company,yoeunes,"Marrakech, Morocco"
seuros,Open Source Contributor,seuross,"Tangier, Morocco"
zKhadiri,No Company,,"Casablanca , MA"
Mohammedcha,Re-skinning Grp,,Morocco - Casa Lbayda <3
xDweeb,No Company,elyakoutiweb,Morocco
AmineSoukara,Damien,,"Fez, Morocco"
issamElkhadirYC,No Company,issam_elkhader,Rabat
fahdaguenouz,01 Talent,,Morocco
chaqchase,No Company,chaqchase,Morocco
amaitou,42 Network,amait0u,Morocco - Casablaca
eoussama,Ntt Data,OussamaEssamadi,Morocco
ansezz,Tekency,ansezz,"Meknes, Morocco"
Ajjig,/dev/null,4jjig,Morocco
ayoub-ahnaou,Youcode,,"meknes, morocco"
walidbtz7,@prestigia,,Morocco
yezz123,Yezz Llc.,0xyezzz,Morocco
abdenassar01,Compiledideas,nassardev01,"Tanger, Morocco"
YounesBousfiha,No Company,,Morocco
faissaloux,No Company,faissaloux,Morocco
caf-3,No Company,,Mozambique Maputo
dalinezequiel,No Company,,"Maputo, Mozambique"
abelcumbane,No Company,abelrosac,Maputo
KelvenCassamo,"Bivdev, Lda",,"Maputo, Mozambique"
YMatique,Dintell,YMatique,"Beira, Moçambique"
Isco170,Instituto Superior De Comunicação<br/>E<br/>Imagem<br/>De<br/>Moçambique<br/>(iscim)<br/>,,Maputo
reizen-desu,No Company,reizen_desu,"Maputo, Mozambique"
SozinhoLuis,No Company,,"Beira, Sofala, Mozambique"
abel-banze,Matcomp Erp,,Maputo - Mozambique
AghastyGD,"Grupo Mesquita, Sa",,"Beira, Sofala, Mozambique"
Edsonjorgef1,@equip-mozambique,,"Mozambique, Sofala, Beira"
Uanela,Grupo Mesquita Sa,,"Beira, Sofala, Mozambique"
bboa3,@cym3,,Moçambique/Maputo
gabrielmjr,No Company,GabrielMJ_2005,Maputo/Mozambique
PauloPhagula,@factorialco,,"Maputo, Mozambique"
joseseie,"Explicador Inc, Lda.",,"Maputo, Mozambique"
leliocossa,No Company,leliocossa,"Mozambique, Maputo"
IvanBila,@bazara,,"Maputo, Mozambique"
200501012,No Company,,"Mozambique,Maputo"
j7macuacua,Stilldev Corporation,,Maputo
asenmwa,No Company,asenmwa,"Windhoek, Namibia"
axelmukwena,@daaily @meyabase @silosset,axelmukwena,Namibia
mou-rush,No Company,,"Swakopmund, Namibia"
lothartj,@daaily,,Windhoek
DevJHansen,@identitytoday,,Namibia
Jason-Mendes,Daaily,,Namibia
